Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G ?
88,Jeff Teague,PG,29,MIN,61,61,33.1,5,11.1,0.45,1.2,3.1,0.38,3.8,8,0.477,0.504,2.7,3.3,0.829,0.4,2.7,3.1,7.1,1.5,0.3,2.6,2.4,13.9
89,Bojan Bogdanovic,SF,28,IND,71,71,30.7,4.9,10.4,0.466,1.9,4.8,0.393,3,5.7,0.526,0.555,2.2,2.6,0.859,0.4,3,3.3,1.5,0.7,0.1,1.3,1.6,13.8
90,Kentavious Caldwell-Pope,SG,24,LAL,63,63,33.8,4.7,10.9,0.432,2.3,5.7,0.396,2.5,5.2,0.471,0.535,2,2.7,0.766,0.9,4.6,5.5,2.2,1.6,0.2,1.3,2,13.7
91,Myles Turner,C,21,IND,55,52,28.5,5.1,10.2,0.5,0.9,2.5,0.38,4.1,7.7,0.539,0.546,2.6,3.4,0.773,1.5,5.4,6.9,1.4,0.6,1.9,1.5,2.9,13.7
92,DeMarre Carroll,SF,31,BRK,67,67,29.9,4.5,10.9,0.415,2,5.4,0.37,2.5,5.5,0.458,0.506,2.6,3.4,0.77,1.5,5.2,6.7,2,0.8,0.4,1.4,2.2,13.6
93,Jayson Tatum,SF,19,BOS,71,71,30.5,4.8,10.1,0.476,1.3,3.1,0.429,3.5,7.1,0.496,0.54,2.6,3.2,0.821,0.6,4.5,5.1,1.5,0.9,0.8,1.3,2.1,13.6
94,Kris Dunn,PG,23,CHI,52,43,29.3,5.5,12.8,0.429,0.8,2.6,0.321,4.7,10.2,0.457,0.462,1.6,2.2,0.73,0.5,3.8,4.3,6,2,0.5,2.9,3.4,13.4
95,Taurean Waller-Prince,SF,23,ATL,72,72,30.2,4.8,11.4,0.418,2,5.4,0.38,2.7,6.1,0.452,0.507,1.8,2.1,0.843,0.6,4.2,4.8,2.4,1,0.5,2.2,2,13.4
96,Malcolm Brogdon,PG,25,MIL,46,20,30.5,5.2,10.6,0.487,1.3,3.4,0.378,3.9,7.2,0.538,0.547,1.6,1.8,0.882,0.5,2.8,3.3,3.2,0.9,0.3,1.4,2.8,13.3
97,Bobby Portis,PF,22,CHI,62,3,22.4,5.2,11,0.469,1.1,3.1,0.349,4.1,7.9,0.516,0.518,1.9,2.4,0.788,2.2,4.5,6.8,1.8,0.7,0.2,1.3,1.7,13.3
98,Buddy Hield,SG,24,SAC,71,12,24.8,5,11.4,0.441,2.1,5.1,0.421,2.9,6.4,0.457,0.534,0.9,1,0.887,0.6,3.2,3.8,1.8,0.9,0.3,1.5,1.8,13.1
99,Jeremy Lamb,SG,25,CHO,72,17,24.6,4.8,10.6,0.455,1.2,3.2,0.361,3.7,7.4,0.496,0.51,2.3,2.7,0.862,0.7,3.5,4.2,2.3,0.8,0.4,1.2,1.8,13.1
100,Brook Lopez,C,29,LAL,63,61,23,5,10.7,0.47,1.6,4.5,0.352,3.5,6.3,0.554,0.544,1.4,2,0.69,1.1,2.9,4,1.6,0.4,1.4,1.4,2.7,13.1
101,Josh Richardson,SF,24,MIA,71,71,33.3,5,10.9,0.457,1.7,4.3,0.393,3.3,6.6,0.498,0.534,1.4,1.7,0.828,0.9,2.5,3.4,2.8,1.5,0.9,1.8,2.6,13.1
102,Elfrid Payton,PG,23,TOT,60,60,29,5.4,10.7,0.5,0.5,1.5,0.337,4.9,9.2,0.526,0.523,1.8,2.7,0.652,1,3.4,4.4,6.3,1.3,0.4,2.7,2.3,13
103,Kent Bazemore,SG,28,ATL,65,65,27.5,4.4,10.4,0.42,1.7,4.2,0.394,2.7,6.2,0.438,0.5,2.5,3.1,0.796,0.4,3.4,3.8,3.5,1.5,0.7,2.4,2.3,12.9
104,Spencer Dinwiddie,PG,24,BRK,71,57,29.1,4.2,10.8,0.387,1.7,5.4,0.323,2.4,5.4,0.453,0.469,2.8,3.4,0.833,0.5,2.8,3.3,6.7,0.9,0.3,1.6,2.4,12.9
105,Marcus Morris,PF,28,BOS,47,19,26.3,4.7,11.1,0.423,1.6,4.3,0.369,3.1,6.8,0.456,0.494,1.9,2.4,0.783,0.9,4.7,5.6,1.3,0.7,0.2,1.1,1.9,12.9
106,Michael Beasley,PF,29,NYK,65,21,21.9,5.3,10.5,0.507,0.4,1,0.409,4.9,9.5,0.518,0.527,1.7,2.2,0.782,1.3,4.2,5.5,1.6,0.5,0.6,1.9,1.9,12.8
107,Darren Collison,PG,30,IND,59,54,29.8,4.7,9.4,0.496,1.4,3.1,0.448,3.3,6.3,0.52,0.57,2,2.3,0.874,0.6,2.1,2.6,5.3,1.4,0.2,1.3,1.8,12.7
108,Robert Covington,PF,27,PHI,69,69,31.8,4.3,10.4,0.413,2.6,6.8,0.378,1.7,3.6,0.482,0.538,1.5,1.8,0.847,0.7,4.7,5.4,1.9,1.5,0.8,1.6,3,12.7
109,Allen Crabbe,SG,25,BRK,66,59,29.5,4.4,11,0.397,2.5,7,0.365,1.8,4,0.453,0.513,1.4,1.7,0.855,0.4,4,4.4,1.5,0.6,0.4,1.1,2.3,12.7
110,Al Horford,C,31,BOS,64,64,31.6,5.1,10.5,0.487,1.4,3.2,0.42,3.8,7.3,0.517,0.552,1.1,1.5,0.755,1.4,6.1,7.5,4.8,0.6,1.1,1.9,2,12.7
111,Wesley Matthews,SF,31,DAL,63,62,33.8,4.5,11.1,0.406,2.4,6.4,0.381,2.1,4.7,0.441,0.516,1.3,1.6,0.822,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7
112,Ricky Rubio,PG,27,UTA,68,68,29.7,4.4,10.7,0.407,1.1,3.5,0.328,3.2,7.2,0.445,0.46,2.8,3.3,0.851,0.5,4,4.5,5.4,1.6,0.1,2.8,2.8,12.7
113,Serge Ibaka,PF,28,TOR,67,67,27.4,4.9,10.3,0.475,1.4,4,0.346,3.5,6.3,0.555,0.541,1.3,1.7,0.811,1,5.2,6.2,0.8,0.4,1.2,1.2,2.8,12.5
114,Jonas Valanciunas,C,25,TOR,68,68,22.5,4.9,8.6,0.568,0.4,0.9,0.443,4.5,7.8,0.583,0.591,2.2,2.8,0.8,2.4,6.2,8.5,1.1,0.4,0.9,1.5,2.6,12.5
115,Justin Holiday,SG,28,CHI,62,62,32.8,4.1,10.9,0.374,2.3,6.3,0.367,1.8,4.6,0.383,0.479,2,2.4,0.823,0.5,3.8,4.3,2.2,1.1,0.5,1.4,1.9,12.4
116,E'Twaun Moore,SG,28,NOP,73,71,31.8,5.1,10.2,0.503,1.5,3.6,0.423,3.6,6.5,0.548,0.579,0.6,0.8,0.677,0.7,2.2,2.9,2.2,0.9,0.1,1.3,2.3,12.4
117,Taj Gibson,PF,32,MIN,72,72,33.5,5.3,9,0.581,0.1,0.5,0.212,5.2,8.6,0.6,0.586,1.7,2.2,0.766,2.4,4.7,7.1,1.3,0.8,0.7,1.1,2.7,12.3
118,DeAndre Jordan,C,29,LAC,66,66,32,4.9,7.6,0.649,0,0,,4.9,7.6,0.649,0.649,2.4,4,0.611,4.3,11.2,15.5,1.5,0.6,1,1.8,2.7,12.3
119,Dirk Nowitzki,C,39,DAL,71,71,24.8,4.6,9.9,0.463,1.8,4.3,0.426,2.8,5.6,0.491,0.555,1.3,1.5,0.904,0.3,5.3,5.6,1.6,0.6,0.6,0.7,1.9,12.3
120,Patrick Beverley,SG,29,LAC,11,11,30.4,4.4,10.8,0.403,2.2,5.5,0.4,2.2,5.4,0.407,0.504,1.3,1.5,0.824,1.5,2.6,4.1,2.9,1.6,0.5,2.3,3.1,12.2
121,Willie Cauley-Stein,C,24,SAC,64,49,27.8,5,10.3,0.489,0,0.2,0.25,5,10.1,0.493,0.491,2,3.3,0.621,1.8,5,6.9,2.3,1.1,0.9,1.5,2.5,12.2
122,Courtney Lee,SG,32,NYK,69,67,30.9,4.5,10.1,0.449,1.5,3.7,0.403,3,6.4,0.476,0.524,1.6,1.8,0.917,0.4,2.6,3,2.5,1.1,0.2,1.2,1.5,12.2
123,Caris LeVert,SF,23,BRK,62,9,26,4.5,10.3,0.439,1.2,3.4,0.358,3.3,6.9,0.479,0.498,1.9,2.7,0.704,0.8,2.9,3.7,4,1.1,0.3,2.2,2.2,12.2
124,Derrick Favors,C,26,UTA,67,67,27.9,5,9.1,0.557,0.2,0.7,0.239,4.9,8.4,0.583,0.566,1.9,2.8,0.667,2.6,4.6,7.2,1.4,0.8,1,1.2,2.1,12.1
125,Josh Jackson,SF,20,PHO,69,27,24.3,4.6,11.1,0.415,0.7,2.8,0.267,3.9,8.4,0.464,0.448,2.1,3.4,0.627,1.2,3.3,4.5,1.4,0.9,0.4,1.8,2.7,12.1
126,Tyler Johnson,PG,25,MIA,62,29,28.9,4.4,10.1,0.433,1.7,4.7,0.367,2.7,5.4,0.49,0.518,1.6,2,0.811,0.5,3,3.4,2.3,0.9,0.5,1.2,2.1,12
127,Robin Lopez,C,29,CHI,61,61,26.6,5.4,10.2,0.532,0.1,0.2,0.333,5.4,10,0.536,0.535,1.1,1.4,0.761,2.1,2.4,4.5,2,0.2,0.8,1.7,1.7,12
128,Trevor Ariza,SF,32,HOU,59,59,34.4,4.1,9.7,0.419,2.6,6.9,0.38,1.4,2.7,0.519,0.555,1.1,1.3,0.859,0.6,3.9,4.5,1.6,1.5,0.2,0.8,2,11.9
129,Nicolas Batum,SG,29,CHO,56,56,31.9,4.4,10.6,0.415,1.5,4.5,0.339,2.9,6.1,0.471,0.487,1.6,2,0.821,0.9,4,4.9,5.5,1.1,0.4,2,1.2,11.9
130,Kelly Oubre,SF,22,WAS,70,10,27.6,4,9.6,0.417,1.6,4.4,0.365,2.4,5.2,0.463,0.501,2.3,2.8,0.845,0.7,3.8,4.5,1.1,1,0.4,1.1,2.9,11.9
131,Bogdan Bogdanovic,SG,25,SAC,69,44,27.5,4.4,9.8,0.447,1.7,4.2,0.397,2.7,5.6,0.484,0.532,1.4,1.6,0.856,0.4,2.5,2.9,3.3,0.9,0.2,1.6,2.1,11.8
132,Jabari Parker,PF,22,MIL,20,0,21.7,4.8,9.3,0.514,0.9,2.3,0.378,3.9,7,0.557,0.559,1.5,1.9,0.763,1.1,3.2,4.3,1.6,0.7,0.4,1.4,1.5,11.8
133,J.J. Barea,PG,33,DAL,66,8,23.5,4.4,10.1,0.437,1.7,4.6,0.366,2.7,5.5,0.496,0.52,1.2,1.5,0.79,0.2,2.7,3,6.4,0.5,0,2.1,1.2,11.7
134,Domantas Sabonis,C,21,IND,66,19,24.7,4.6,8.9,0.518,0.2,0.5,0.364,4.4,8.4,0.527,0.528,2.3,3.1,0.737,2.3,5.6,7.9,2,0.5,0.4,1.9,2.9,11.7
135,Dwyane Wade,SG,36,TOT,58,3,23.1,4.5,10.1,0.45,0.5,1.7,0.299,4,8.4,0.48,0.475,2.1,2.9,0.718,0.8,3.1,3.9,3.3,0.9,0.6,2.1,1.9,11.7
136,Thaddeus Young,PF,29,IND,72,72,32.4,5.1,10.6,0.484,0.8,2.4,0.324,4.3,8.2,0.531,0.52,0.6,1.1,0.605,2.2,3.9,6.1,2,1.7,0.4,1.3,2.2,11.6
137,Joe Ingles,SF,30,UTA,72,71,31.3,4.1,8.7,0.468,2.5,5.7,0.445,1.5,3,0.512,0.614,0.8,0.9,0.824,0.3,3.9,4.2,4.5,1.1,0.2,2,2.1,11.5
138,Markieff Morris,PF,28,WAS,62,62,27.1,4.5,9.3,0.486,1,2.8,0.38,3.5,6.5,0.531,0.543,1.5,1.8,0.818,1,4.7,5.7,1.9,0.8,0.5,1.7,3.1,11.5
139,Marco Belinelli,SG,31,TOT,69,1,23.9,3.9,9.3,0.426,1.7,4.7,0.368,2.2,4.5,0.486,0.52,1.8,2,0.919,0.3,1.5,1.8,1.8,0.8,0.1,1.1,0.9,11.4
140,Wayne Ellington,SG,30,MIA,67,2,26.7,3.7,9.3,0.405,3,7.7,0.392,0.7,1.6,0.467,0.567,0.9,1.1,0.845,0.3,2.6,3,1.1,0.7,0.1,0.7,1.2,11.4
141,De'Aaron Fox,PG,20,SAC,64,51,27.4,4.5,10.7,0.415,0.6,1.9,0.323,3.8,8.8,0.436,0.445,1.9,2.7,0.718,0.4,2.2,2.6,4.3,1,0.3,2.4,2.2,11.4
142,Kelly Olynyk,PF,26,MIA,66,22,23.7,4.1,8.3,0.499,1.3,3.6,0.37,2.8,4.7,0.599,0.58,1.8,2.3,0.77,1.2,4.5,5.6,2.7,0.8,0.5,1.9,2.9,11.4
143,Draymond Green,PF,27,GSW,62,62,32.9,4.1,9.1,0.451,1.1,3.7,0.3,3,5.4,0.555,0.512,1.9,2.5,0.768,1.2,6.7,7.9,7.3,1.4,1.4,2.8,2.6,11.3
144,Rudy Gay,PF,31,SAS,47,6,21.5,4.3,9.1,0.467,0.7,2,0.326,3.6,7.1,0.508,0.504,2,2.5,0.793,1.2,3.8,5,1.3,0.7,0.7,1.5,1.8,11.1
145,Reggie Bullock,SF,26,DET,56,46,27.6,4.2,8.6,0.492,2,4.5,0.438,2.3,4.1,0.55,0.606,0.6,0.8,0.783,0.4,2,2.4,1.5,0.8,0.2,0.8,1.2,11
146,Frank Kaminsky,PF,24,CHO,70,4,23.2,3.8,9.1,0.422,1.3,3.5,0.381,2.5,5.6,0.448,0.495,2,2.5,0.787,0.6,3,3.6,1.6,0.5,0.3,0.8,1.2,10.9
147,Terry Rozier,PG,23,BOS,71,7,25.1,3.9,9.6,0.401,1.8,4.8,0.38,2,4.8,0.421,0.496,1.4,1.8,0.75,0.8,3.7,4.5,2.7,1,0.2,1,1.6,10.9
148,Gerald Green,SG,32,HOU,31,0,20.9,3.6,9.3,0.392,2.5,6.7,0.368,1.2,2.5,0.456,0.526,1,1.3,0.78,0.4,2.5,2.9,0.5,0.6,0.4,0.5,2.1,10.8
149,Jeff Green,PF,31,CLE,68,6,23.1,3.8,7.9,0.476,0.6,2.1,0.3,3.1,5.8,0.538,0.515,2.7,3.1,0.862,0.8,2.5,3.3,1.3,0.5,0.4,1,1.9,10.8
150,Ish Smith,PG,29,DET,72,35,25.5,4.7,9.8,0.477,0.3,1,0.319,4.4,8.9,0.495,0.493,1.1,1.6,0.699,0.4,2.5,2.8,4.3,0.8,0.2,1.3,1.8,10.8
151,Trey Burke,PG,25,NYK,26,0,17.3,4.5,8.8,0.513,0.9,2.3,0.4,3.6,6.5,0.553,0.565,0.7,1.2,0.581,0.3,1.5,1.8,3.5,0.4,0.2,0.9,0.9,10.7
152,John Collins,PF,20,ATL,64,16,23.2,4.3,7.3,0.584,0.1,0.4,0.333,4.1,6.9,0.599,0.593,1.9,2.5,0.752,2.5,4.6,7.1,1.1,0.6,1.1,1.4,3,10.5
153,JaMychal Green,PF,27,MEM,51,50,27.8,4.1,9,0.456,0.7,2.3,0.325,3.4,6.7,0.501,0.498,1.5,2.1,0.733,2.7,5.6,8.3,1.5,0.6,0.4,1.4,2.7,10.5
154,Montrezl Harrell,C,24,LAC,65,3,16.1,4.3,6.8,0.629,0,0.1,0,4.3,6.7,0.635,0.629,1.9,2.9,0.649,1.4,2.6,3.9,0.8,0.5,0.7,0.9,1.9,10.5
155,Ersan Ilyasova,PF,30,TOT,58,40,24.8,3.9,8.5,0.455,1.3,3.5,0.366,2.6,5,0.517,0.53,1.4,1.8,0.8,1.6,3.7,5.3,1.2,0.9,0.3,1,2.2,10.5
156,James Johnson,PF,30,MIA,64,32,26.3,4.1,8.3,0.501,0.8,2.6,0.311,3.3,5.7,0.588,0.55,1.4,2.1,0.674,0.8,4,4.8,3.9,1,0.7,1.9,2.6,10.5
157,Jamal Crawford,SG,37,MIN,70,0,20.1,3.9,9.2,0.422,1.3,3.9,0.338,2.5,5.2,0.485,0.495,1.3,1.5,0.902,0.2,0.9,1.2,2.3,0.5,0.1,1.1,1.1,10.4
158,Pau Gasol,C,37,SAS,67,59,24.2,3.8,8.4,0.459,0.6,1.6,0.376,3.2,6.7,0.479,0.496,2.1,2.8,0.768,1.5,6.5,8.1,3.2,0.3,1.1,1.5,1.5,10.4
159,Damion Lee,SG,25,ATL,5,2,23.8,3.4,7.6,0.447,1.2,3.2,0.375,2.2,4.4,0.5,0.526,2.4,3,0.8,0.6,2.6,3.2,1.8,1.2,0,0.8,1.2,10.4
160,Trey Lyles,PF,22,DEN,65,2,19.9,3.9,8,0.489,1.2,3.2,0.385,2.7,4.8,0.558,0.566,1.4,2.1,0.696,0.8,4.2,5,1.2,0.5,0.5,0.9,1.6,10.4
161,Wilson Chandler,SF,30,DEN,65,62,31.4,3.9,8.6,0.454,1.2,3.4,0.361,2.7,5.3,0.513,0.524,1.3,1.6,0.783,1.4,3.8,5.2,2.2,0.6,0.5,1.3,2.1,10.3
162,Yogi Ferrell,SG,24,DAL,72,21,29,3.8,8.9,0.43,1.7,4.4,0.379,2.2,4.5,0.479,0.523,1,1.3,0.822,0.4,2.9,3.3,2.4,0.8,0.1,1,2,10.3
163,Joe Harris,SG,26,BRK,70,11,25.2,3.7,7.8,0.474,1.8,4.6,0.401,1.9,3.3,0.574,0.59,1,1.3,0.82,0.7,2.7,3.3,1.6,0.5,0.2,1.1,2,10.3
164,C.J. Miles,SF,30,TOR,61,3,18.9,3.3,8.5,0.395,2.5,6.5,0.38,0.9,2,0.446,0.541,1.1,1.4,0.831,0.3,1.9,2.1,0.7,0.6,0.3,0.5,1.8,10.3
165,Dillon Brooks,SF,22,MEM,72,64,28.6,3.9,8.8,0.443,1.1,3,0.372,2.8,5.8,0.48,0.506,1.3,1.6,0.763,0.6,2.4,3,1.4,0.8,0.2,1.4,3,10.2
166,George Hill,PG,31,TOT,60,53,27.3,3.6,7.7,0.461,1.3,3.1,0.422,2.3,4.6,0.487,0.546,1.8,2.3,0.779,0.7,2.1,2.8,2.8,0.9,0.4,1.4,2,10.2
167,Greg Monroe,C,27,TOT,40,14,20.1,4.3,7.3,0.59,0,0,,4.3,7.3,0.59,0.59,1.5,2.2,0.709,2.2,4.5,6.7,1.9,0.8,0.4,1.8,1.9,10.2
168,Marcus Smart,SG,23,BOS,54,11,29.9,3.5,9.5,0.367,1.4,4.6,0.301,2.1,4.9,0.429,0.44,1.8,2.5,0.729,0.8,2.7,3.5,4.8,1.3,0.4,2.4,2.5,10.2
169,Lonzo Ball,PG,20,LAL,49,47,34.1,3.8,10.9,0.351,1.8,5.8,0.305,2.1,5.1,0.402,0.432,0.6,1.3,0.462,1.3,5.7,7,7.1,1.7,0.9,2.7,2.2,10.1
170,Denzel Valentine,SG,24,CHI,71,35,27.4,3.9,9.3,0.416,1.8,4.8,0.383,2.1,4.6,0.451,0.514,0.5,0.7,0.766,0.7,4.6,5.3,3.2,0.8,0.1,1.2,2.4,10.1
171,Tyrone Wallace,PG,23,LAC,21,12,27.7,3.7,8,0.461,0.4,1.2,0.308,3.3,6.7,0.489,0.485,2.4,3,0.781,0.7,2.7,3.4,2.5,0.9,0.4,1.2,2.8,10.1
172,D.J. Augustin,PG,30,ORL,65,26,23.1,3.1,6.9,0.444,1.5,3.6,0.422,1.5,3.3,0.469,0.556,2.2,2.6,0.861,0.3,1.6,2,3.8,0.8,0,1.6,1.3,9.9
173,Dewayne Dedmon,C,28,ATL,53,37,24.2,4,7.3,0.54,0.8,2.2,0.365,3.2,5.2,0.613,0.594,1.1,1.4,0.792,1.7,5.9,7.6,1.4,0.7,0.8,1.5,2.6,9.8
174,Ryan Anderson,PF,29,HOU,61,50,26.7,3.3,7.5,0.436,2,5.3,0.386,1.2,2.2,0.556,0.572,1.1,1.4,0.773,1.5,3.7,5.1,0.9,0.4,0.3,0.7,1.9,9.7
175,Patty Mills,PG,29,SAS,72,26,24.8,3.3,8,0.41,1.8,4.9,0.373,1.5,3.2,0.467,0.523,1.2,1.4,0.878,0.3,1.6,1.9,2.7,0.7,0.2,1.3,1.5,9.6
176,Al-Farouq Aminu,PF,27,POR,58,56,29.9,3.4,8.3,0.405,1.9,4.8,0.403,1.4,3.5,0.407,0.521,0.8,1.1,0.742,1.3,6.2,7.4,1.2,1,0.6,1.1,1.9,9.5
177,Jae Crowder,SF,27,TOT,70,47,26.3,3.3,8.1,0.407,1.3,4.1,0.33,1.9,4,0.486,0.49,1.6,2,0.819,0.7,2.7,3.4,1.3,0.8,0.2,0.9,2.3,9.5
178,Kyle Korver,SG,36,CLE,69,3,21.8,3.1,6.8,0.458,2.3,5.3,0.44,0.8,1.5,0.524,0.63,0.9,1,0.884,0.1,2.1,2.2,1.2,0.4,0.4,0.7,1.7,9.4
179,Lance Stephenson,SG,27,IND,72,6,22.7,3.8,8.6,0.436,0.8,2.7,0.311,2.9,5.9,0.494,0.486,1.1,1.6,0.679,0.7,4.3,5.1,2.9,0.6,0.2,1.7,2.2,9.4
180,Andrew Harrison,PG,23,MEM,54,44,23.3,3.1,7.4,0.42,0.8,2.4,0.341,2.3,5,0.459,0.476,2.2,2.8,0.778,0.4,1.9,2.3,3,0.7,0.5,1.4,2.5,9.3
181,Mike James,PG,27,TOT,36,10,19.1,3.4,8.9,0.383,0.7,2.7,0.265,2.7,6.2,0.435,0.424,1.8,2.3,0.762,0.4,2.1,2.5,3.5,0.8,0.2,1.4,1.3,9.3
182,Michael Kidd-Gilchrist,SF,24,CHO,65,65,25.1,3.9,7.6,0.506,0,0,0,3.9,7.6,0.508,0.506,1.6,2.3,0.685,1.2,3,4.2,1,0.7,0.5,0.7,1.9,9.3
183,Larry Nance,C,25,TOT,55,22,22.5,3.9,6.5,0.602,0,0.1,0.125,3.9,6.3,0.613,0.604,1.5,2.2,0.661,2.5,4.5,7,1.3,1.4,0.6,0.9,2.8,9.3
184,Milos Teodosic,PG,30,LAC,42,33,25.1,3.3,7.9,0.414,1.9,5.1,0.377,1.4,2.8,0.483,0.536,0.8,1,0.85,0.4,2.4,2.8,4.8,0.5,0.1,2.1,2.3,9.3
185,Marvin Williams,PF,31,CHO,69,69,25.7,3.2,7.1,0.45,1.6,3.9,0.399,1.7,3.2,0.511,0.559,1.2,1.5,0.802,0.9,3.8,4.7,1.1,0.7,0.4,0.8,1.6,9.2
186,Jordan Crawford,SG,29,NOP,2,0,18.5,3.5,7,0.5,2,2.5,0.8,1.5,4.5,0.333,0.643,0,0,,1,0.5,1.5,4.5,0,0.5,2,3,9
187,Mario Hezonja,SF,22,ORL,65,22,20.7,3.5,7.8,0.446,1.1,3.3,0.327,2.4,4.5,0.533,0.515,1,1.2,0.829,0.6,2.9,3.5,1.2,1,0.3,1,1.7,9
188,Shabazz Napier,PG,26,POR,64,8,20.9,3.1,7.2,0.432,1.1,2.9,0.382,2,4.3,0.465,0.509,1.6,1.9,0.839,0.3,1.9,2.2,2.1,1.2,0.2,1.2,1.1,9
189,Derrick Rose,PG,29,TOT,21,7,17.4,3.5,7.9,0.442,0.3,1.3,0.222,3.2,6.6,0.486,0.461,1.8,2.1,0.864,0.6,1,1.6,1.6,0.2,0.2,1.5,0.7,9
190,Terrence Ross,SG,26,ORL,22,20,26.2,3.3,8,0.407,1.3,3.9,0.329,2,4.2,0.478,0.486,1.2,1.6,0.743,0.5,2.7,3.2,1.6,1.2,0.4,1.1,2,9
191,Emmanuel Mudiay,PG,21,TOT,58,13,19.8,3.3,8.4,0.388,0.8,2.4,0.321,2.5,6,0.415,0.434,1.6,2.1,0.752,0.4,1.9,2.4,3.3,0.7,0.2,1.8,1.2,8.9
192,Manu Ginobili,SG,40,SAS,56,0,20.1,3.1,7.2,0.433,0.9,3,0.319,2.2,4.3,0.513,0.499,1.6,1.9,0.849,0.3,1.8,2.1,2.5,0.7,0.3,1.6,1.9,8.8
193,Danny Green,SG,30,SAS,60,53,25.9,3.2,8.2,0.395,1.7,4.7,0.369,1.5,3.5,0.429,0.5,0.6,0.8,0.776,0.6,3,3.6,1.6,0.9,1.2,1,1.6,8.8
194,John Henson,C,27,MIL,66,59,25.7,3.7,6.5,0.576,0,0.1,0,3.7,6.4,0.581,0.576,1.3,2.2,0.597,2,4.8,6.8,1.3,0.5,1.4,1.1,2.7,8.8
195,Wayne Selden,SG,23,MEM,30,8,19,3.1,7.3,0.42,1.3,3.4,0.388,1.7,3.9,0.448,0.511,1.2,1.6,0.755,0.5,1.2,1.6,1.8,0.5,0.1,1.5,1.7,8.7
196,Isaiah Canaan,PG-SG,26,TOT,20,1,21.1,2.6,6.9,0.38,1.1,3.3,0.333,1.5,3.6,0.423,0.46,2.3,2.6,0.902,0.3,2,2.3,3.8,0.8,0.1,1.5,1.8,8.6
197,Troy Daniels,SG,26,PHO,71,7,20,2.8,7,0.405,2.2,5.6,0.397,0.6,1.4,0.434,0.564,0.7,0.8,0.883,0.1,1.3,1.4,0.6,0.3,0.1,0.7,1.8,8.6
198,Skal Labissiere,PF,21,SAC,55,23,20.1,3.4,7.4,0.455,0.3,0.7,0.4,3.1,6.7,0.461,0.474,1.6,2,0.789,1.6,3.1,4.7,1.1,0.4,0.8,1.1,2.2,8.6
199,Mike Scott,PF,29,WAS,65,1,18.1,3.6,6.6,0.538,0.8,2.1,0.407,2.7,4.6,0.598,0.602,0.6,1,0.667,0.6,2.5,3.1,1,0.3,0.2,1.1,2,8.6
200,Marcin Gortat,C,33,WAS,71,71,25.5,3.5,6.8,0.518,0,0,,3.5,6.8,0.518,0.518,1.4,2.1,0.669,2.2,5.4,7.6,1.8,0.5,0.7,1.2,2.1,8.5
201,Stanley Johnson,SF,21,DET,59,40,27.2,2.9,7.9,0.373,1,3.4,0.286,2,4.5,0.437,0.434,1.7,2.1,0.792,0.4,3.2,3.6,1.4,1.3,0.2,1.1,2.5,8.5
202,Dwight Powell,C,26,DAL,71,17,20.9,3.3,5.4,0.605,0.3,0.8,0.333,3,4.6,0.655,0.631,1.6,2.3,0.713,1.7,3.8,5.5,1.1,0.8,0.4,0.7,2.3,8.5
203,Devin Harris,PG,34,TOT,61,1,18.4,2.6,6.3,0.417,1.1,3.1,0.349,1.6,3.2,0.482,0.503,2,2.4,0.838,0.2,1.6,1.8,2.1,0.7,0.2,1.1,2.3,8.4
204,Tony Parker,PG,35,SAS,45,21,20.2,3.6,7.6,0.48,0.2,0.7,0.233,3.5,6.9,0.503,0.49,1,1.4,0.703,0.1,1.8,1.9,3.9,0.6,0,1.3,0.9,8.4
205,Cameron Payne,PG,23,CHI,14,3,21,3.4,8.1,0.416,1.3,3.4,0.375,2.1,4.6,0.446,0.496,0.4,0.5,0.714,0.6,1.7,2.3,4.1,1.2,0.5,1.2,1.6,8.4
206,Garrett Temple,SG,31,SAC,65,35,24.8,3.1,7.3,0.418,1.4,3.5,0.392,1.7,3.8,0.442,0.512,0.9,1.2,0.769,0.3,2,2.3,1.9,0.9,0.4,1.2,2.1,8.4
207,Fred VanVleet,PG,23,TOR,67,0,19.9,3,7.1,0.419,1.3,3.3,0.396,1.7,3.8,0.439,0.512,1.1,1.3,0.856,0.3,2.2,2.5,3.2,1,0.3,1,1.7,8.4
208,Delon Wright,PG,25,TOR,59,4,20.9,3,6.3,0.48,0.8,2.2,0.369,2.2,4.1,0.539,0.544,1.5,1.8,0.837,0.7,2.1,2.8,2.9,1.1,0.5,1.2,1.2,8.4
209,Jerian Grant,PG,25,CHI,63,26,22.6,2.7,6.5,0.423,0.8,2.4,0.336,1.9,4.1,0.473,0.484,2,2.6,0.764,0.4,2,2.4,4.7,0.8,0.1,1.2,1.7,8.3
210,J.R. Smith,SG,32,CLE,69,61,28.8,3,7.6,0.392,1.9,5,0.368,1.1,2.5,0.44,0.514,0.5,0.7,0.688,0.4,2.6,3,1.9,0.9,0.2,1,2.1,8.3
